Тип									|	Данные 															|	Код
									|	(в том числе имя пользователя и компьютер )						|	
------------------------------------|-------------------------------------------------------------------|-----
Запуск приложения					|																	|	1
------------------------------------|-------------------------------------------------------------------|-----
Поиск лиц							|	1. Именные компоненты лица									    |
									|	2. Начальная и конечная даты									|	2
------------------------------------|-------------------------------------------------------------------|-----
Открытие окна сравнения лиц			|	1. Именные компоненты лица						                |   3
------------------------------------|-------------------------------------------------------------------|-----
Открытие окна настроек приложения	|																	|	4
------------------------------------|-------------------------------------------------------------------|-----
Изменение настроек приложения		|																	|	5
------------------------------------|-------------------------------------------------------------------|-----
Успешная авторизация пользователя	|																	|	6
------------------------------------|-------------------------------------------------------------------|-----
Ошибка авторизации пользователя		|																	|	7
------------------------------------|-------------------------------------------------------------------|-----
Начало поиска по фотографии			|																	|	8
------------------------------------|-------------------------------------------------------------------|-----
Поиск по фотографии прерван 		|																	|	9
------------------------------------|-------------------------------------------------------------------|-----
Поиск по фотографии завершен успешно|																	|	10
------------------------------------|-------------------------------------------------------------------|-----
Успешная авторизация пользователя	|																	|	11
------------------------------------|-------------------------------------------------------------------|-----
Завершение работы приложения		|	1. Пользователь													|	255
